iter	Passed	Remaining
220	286	1010
221	287	1007
222	288	1004
223	288	1000
224	289	997
225	290	994
226	290	990
227	291	987
228	292	984
229	293	981
230	293	977
231	294	974
232	295	971
233	295	968
234	296	965
235	297	962
236	298	959
237	298	957
238	299	954
239	300	950
240	301	948
241	301	945
242	302	942
243	303	939
244	303	936
245	304	933
246	305	930
247	305	927
248	306	924
249	307	921
250	307	918
251	308	915
252	309	912
253	309	909
254	310	907
255	311	905
256	312	903
257	313	901
258	314	898
259	314	895
260	315	893
261	316	891
262	317	889
263	317	886
264	318	883
265	319	880
266	319	878
267	320	875
268	321	872
269	321	870
270	322	867
271	323	864
272	323	862
273	324	859
274	325	857
275	326	855
276	326	853
277	327	851
278	328	849
279	329	846
280	330	844
281	330	842
282	331	839
283	332	837
284	332	835
285	333	832
286	334	830
287	334	828
288	335	825
289	336	823
290	336	820
291	337	818
292	338	816
293	338	814
294	339	812
295	340	810
296	341	808
297	342	805
298	342	803
299	343	801
300	344	799
301	345	797
302	345	795
303	346	793
304	347	791
305	348	789
306	348	787
307	349	785
308	350	783
309	350	781
310	351	779
311	352	776
312	353	774
313	353	772
314	354	770
315	355	768
316	356	767
317	357	766
318	358	764
319	358	762
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	363	750
326	364	749
327	364	747
328	365	745
329	366	743
330	366	741
331	367	739
332	368	737
333	368	735
334	369	733
335	370	731
336	371	730
337	371	728
338	372	726
339	373	724
340	374	722
341	374	720
342	375	718
343	375	716
344	376	715
345	377	713
346	377	711
347	378	709
348	379	707
349	379	705
350	380	703
351	381	701
352	381	699
353	382	697
354	383	696
355	383	694
356	384	692
357	385	691
358	386	690
359	387	688
360	388	687
361	389	685
362	389	684
363	390	682
364	391	680
365	392	679
366	392	677
367	393	675
368	394	674
369	395	672
370	395	671
371	396	669
372	397	667
373	398	666
374	398	664
375	399	663
376	400	661
377	401	660
378	401	658
379	402	656
380	403	655
381	404	653
382	404	651
383	405	650
384	405	648
385	406	646
386	407	645
387	407	643
388	408	641
389	409	640
390	409	638
391	410	636
392	411	635
393	411	633
394	412	631
395	413	630
396	414	628
397	414	627
398	415	626
399	416	624
400	417	623
401	417	621
402	418	620
403	419	618
404	419	616
405	420	615
406	421	613
407	421	611
408	422	610
409	423	608
410	423	607
411	424	605
412	425	604
413	425	602
414	426	600
415	427	599
416	428	598
417	429	597
418	429	596
419	431	595
420	432	594
421	433	593
422	434	592
423	435	591
424	436	590
425	437	589
426	438	588
427	439	587
428	440	586
429	441	585
430	442	584
431	444	584
432	445	583
433	446	582
434	447	581
435	448	580
436	449	579
437	450	578
438	451	577
439	452	576
440	454	575
441	455	574
442	456	573
443	457	573
444	458	572
445	460	571
446	461	570
447	462	569
448	463	568
449	464	567
450	465	566
451	466	565
452	467	564
453	468	563
454	469	562
455	470	561
456	471	560
457	472	559
458	474	558
459	475	558
460	476	557
461	477	555
462	478	554
463	479	553
464	480	552
465	481	552
466	482	551
467	484	550
468	485	549
469	486	548
470	487	547
471	488	546
472	489	545
473	491	545
474	492	544
475	493	543
476	494	542
477	495	541
478	496	540
479	497	539
480	498	538
481	499	537
482	500	536
483	501	534
484	503	534
485	504	533
486	505	532
487	506	531
488	508	530
489	509	529
490	510	528
491	511	527
492	512	526
493	513	525
494	514	524
495	515	523
496	516	522
497	517	521
498	518	520
499	519	519
500	521	518
501	522	517
502	523	516
503	524	515
504	525	514
505	526	514
506	527	512
507	528	512
508	529	511
509	530	509
510	531	508
511	532	507
512	534	507
513	535	506
514	536	505
515	537	504
516	538	503
517	539	502
518	540	501
519	541	500
520	542	498
521	543	497
522	544	496
523	546	496
524	547	495
525	548	494
526	549	493
527	550	492
528	551	491
529	553	490
530	554	489
531	555	488
532	556	487
533	558	487
534	559	486
535	560	485
536	562	484
537	563	483
538	564	482
539	565	481
540	566	480
541	567	479
542	568	478
543	569	477
544	571	476
545	572	475
546	573	474
547	574	473
548	575	472
549	576	471
550	578	471
551	579	470
552	581	469
553	582	469
554	584	468
555	585	467
556	586	466
557	587	465
558	588	464
559	589	463
560	591	462
561	592	461
562	593	460
563	594	459
564	595	458
565	596	457
566	597	456
567	598	455
568	599	454
569	600	453
570	602	452
571	603	451
572	604	450
573	605	449
574	606	448
575	607	447
576	608	446
577	610	445
578	611	444
579	612	443
580	613	442
581	614	441
582	615	440
583	616	439
584	618	438
585	620	438
586	622	437
587	624	437
588	626	437
589	628	436
590	630	436
591	632	436
592	633	434
593	634	433
594	636	432
595	637	432
596	638	431
597	639	430
598	641	429
599	642	428
600	643	427
601	644	426
602	645	425
603	646	424
604	648	423
605	649	422
606	650	421
607	651	420
608	652	419
609	654	418
610	655	417
611	656	416
612	657	415
613	658	414
614	659	413
615	661	412
616	662	411
617	663	410
618	664	409
619	665	408
620	667	407
621	668	406
622	670	405
623	671	404
624	672	403
625	674	402
626	675	401
627	676	400
628	677	399
629	678	398
630	679	397
631	680	396
632	682	395
633	683	394
634	684	393
635	685	392
636	686	391
637	688	390
638	689	389
639	690	388
640	691	387
641	693	386
642	694	385
643	695	384
644	696	383
645	698	382
646	699	381
647	700	380
648	701	379
649	702	378
650	703	377
651	704	375
652	704	374
653	705	373
654	706	372
655	707	370
656	708	369
657	709	368
658	710	367
659	710	366
660	711	364
661	712	363
662	713	362
663	714	361
664	715	360
665	715	358
666	716	357
667	717	356
668	718	355
669	719	354
670	719	352
671	720	351
672	721	350
673	722	349
674	723	348
675	724	347
676	725	345
677	725	344
678	726	343
679	727	342
680	728	341
681	729	339
682	729	338
683	730	337
684	731	336
685	732	335
686	732	333
687	733	332
688	734	331
689	735	330
690	736	329
691	737	328
692	737	326
693	738	325
694	739	324
695	740	323
696	741	322
697	742	321
698	742	319
699	743	318
700	744	317
701	745	316
702	746	315
703	746	313
704	747	312
705	748	311
706	748	310
707	749	309
708	750	308
709	751	307
710	753	306
711	753	304
712	754	303
713	755	302
714	756	301
715	757	300
716	758	299
717	759	298
718	760	297
719	761	296
720	762	295
721	763	294
722	764	292
723	765	291
724	766	290
725	767	289
726	768	288
727	769	287
728	771	286
729	772	285
730	773	284
731	774	283
732	775	282
733	776	281
734	778	280
735	779	279
736	780	278
737	781	277
738	782	276
739	784	275
740	785	274
741	786	273
742	787	272
743	788	271
744	789	270
745	790	269
746	791	268
747	792	267
748	793	266
749	795	265
750	796	264
751	797	263
752	799	262
753	799	260
754	800	259
755	801	258
756	803	257
757	804	256
758	805	255
759	807	254
760	808	253
761	809	252
762	811	251
763	812	251
764	814	250
765	815	249
766	816	248
767	817	247
768	818	245
769	820	244
770	821	243
771	822	242
772	823	241
773	824	240
774	826	239
775	827	238
776	828	237
777	830	236
778	831	235
779	832	234
780	833	233
781	834	232
782	835	231
783	836	230
784	837	229
785	839	228
786	840	227
787	841	226
788	843	225
789	844	224
790	845	223
791	847	222
792	848	221
793	849	220
794	850	219
795	851	218
796	852	217
797	854	216
798	855	215
799	856	214
800	858	213
801	859	212
802	861	211
803	862	210
804	863	209
805	865	208
806	866	207
807	867	206
808	868	205
809	869	203
810	870	202
811	871	201
812	872	200
813	873	199
814	874	198
815	875	197
816	876	196
817	877	195
818	878	194
819	879	193
820	880	191
821	881	190
822	882	189
823	883	188
824	884	187
825	885	186
826	886	185
827	887	184
828	889	183
829	890	182
830	891	181
831	892	180
832	893	179
833	894	178
834	896	177
835	897	176
836	898	174
837	900	174
838	901	172
839	902	171
840	904	171
841	906	170
842	907	168
843	908	167
844	910	166
845	911	165
846	912	164
847	914	163
848	915	162
849	916	161
850	917	160
851	919	159
852	920	158
853	921	157
854	922	156
855	923	155
856	925	154
857	926	153
858	927	152
859	928	151
860	929	150
861	930	149
862	931	147
863	933	146
864	934	145
865	935	144
866	936	143
867	937	142
868	939	141
869	940	140
870	942	139
871	944	138
872	945	137
873	946	136
874	947	135
875	948	134
876	949	133
877	950	132
878	952	131
879	953	130
880	954	128
881	955	127
882	957	126
883	958	125
884	959	124
885	960	123
886	962	122
887	963	121
888	964	120
889	965	119
890	967	118
891	968	117
892	969	116
893	970	115
894	972	114
895	973	112
896	974	111
897	975	110
898	976	109
899	978	108
900	981	107
901	984	106
902	985	105
903	987	104
904	988	103
905	989	102
906	991	101
907	992	100
908	993	99
909	994	98
910	996	97
911	997	96
912	998	95
913	999	94
914	1001	93
915	1002	91
916	1003	90
917	1005	89
918	1007	88
919	1009	87
920	1010	86
921	1011	85
922	1012	84
923	1014	83
924	1015	82
925	1016	81
926	1018	80
927	1019	79
928	1020	77
929	1021	76
930	1022	75
931	1023	74
932	1024	73
933	1025	72
934	1027	71
935	1028	70
936	1029	69
937	1030	68
938	1031	67
939	1034	66
940	1035	64
941	1036	63
942	1037	62
943	1039	61
944	1040	60
945	1043	59
946	1045	58
947	1049	57
948	1051	56
949	1060	55
950	1061	54
951	1063	53
952	1064	52
953	1065	51
954	1066	50
955	1067	49
956	1068	47
957	1069	46
958	1069	45
959	1070	44
960	1071	43
961	1072	42
962	1075	41
963	1076	40
964	1077	39
965	1078	37
966	1079	36
967	1080	35
968	1082	34
969	1083	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1089	27
975	1090	26
976	1092	25
977	1093	24
978	1094	23
979	1096	22
980	1097	21
981	1099	20
982	1100	19
983	1101	17
984	1102	16
985	1103	15
986	1105	14
987	1106	13
988	1107	12
989	1109	11
990	1110	10
991	1111	8
992	1112	7
993	1113	6
994	1114	5
995	1115	4
996	1116	3
997	1117	2
998	1118	1
999	1120	0
